Identity,Evaluation,Potency,Activity,Toyota,Ford,BMW,Mercedes,,Position in E,Position in A,Top 5 entities,Euclidean Distance,,TMeanE,TMeanP,TMeanA,FMeanE,FMeanP,FMeanA,BMeanE,BMeanP,BMeanA,MMeanE,MMeanP,MMeanA
grandfather,2,1.18,-0.05,0.55,1.5,1.63,1.73,,,,,,,,,,,,,,,,,,
grandmother,2.64,0.7,0.07,0.76,2.01,1.74,1.83,,,,,,,,,,,,,,,,,,
grandparent,2.73,1.46,-0.91,1.39,2.42,2.11,2.14,,,,,,,,,,,,,,,,,,
grandson,1.85,0.35,0.95,1.19,1.69,1.95,2.09,,,,,,,,,,,,,,,,,,
great grandfather,2.5,1.6,-0.73,1.19,2.12,1.91,1.95,,,,,,,,,,,,,,,,,,
great grandmother,2.05,0.7,-1.11,1.64,2.62,2.7,2.77,,,,,,,,,,,,,,,,,,
grind,-0.28,0.11,0.66,2.85,2.63,3.61,3.75,,,,,,,,,,,,,,,,,,
grouch,-1.19,-0.58,-0.83,4.15,4.2,5.1,5.23,,,,,,,,,,,,,,,,,,
grownup,1.42,1.96,0.8,1.17,0.31,1.32,1.43,,,,,,,,,,,,,,,,,,
guest,1.07,-0.04,0.22,1.83,2.26,2.83,2.96,,,,,,,,,,,,,,,,,,
gun moll,-0.29,0.11,0.42,2.85,2.69,3.66,3.79,,,,,,,,,,,,,,,,,,
gunman,-2.25,1.38,0.75,4.56,3.82,5.01,5.13,,,,,,,,,,,,,,,,,,
guy,1.27,1.41,0.79,1.11,0.71,1.62,1.75,,,,,,,,,,,,,,,,,,
gynecologist,0.63,0.89,-0.78,2.09,2.35,3.05,3.16,,,,,,,,,,,,,,,,,,
half-wit,-0.77,-0.97,-0.6,3.95,4.11,4.94,5.07,,,,,,,,,,,,,,,,,,
half brother,0.01,0.04,0.63,2.62,2.51,3.42,3.56,,,,,,,,,,,,,,,,,,
half sister,0.94,0.3,0.44,1.69,1.91,2.6,2.74,,,,,,,,,,,,,,,,,,
handicapped person,0.4,-0.49,-1.08,3,3.49,4.09,4.21,,,,,,,,,,,,,,,,,,
handyman,1.48,0.95,0.45,0.89,1.24,1.8,1.93,,,,,,,,,,,,,,,,,,
has-been,-1.19,-1.76,-1.5,5.02,5.3,6.07,6.19,,,,,,,,,,,,,,,,,,
hatemonger,-1.85,-0.45,0.34,4.5,4.22,5.27,5.41,,,,,,,,,,,,,,,,,,
head nurse,1.13,0.89,0.5,1.24,1.31,2.07,2.21,,,,,,,,,,,,,,,,,,
healer,2.54,2.47,0.14,1.22,1.49,1.04,1.03,,,,,,,,,,,,,,,,,,
helper,2.47,1.4,0.44,0.2,1.32,0.99,1.09,,,,,,,,,,,,,,,,,,
hero,2.63,2.31,2.1,2,1.54,1.02,1.02,,,,,,,,,,,,,,,,,,
heroine,1.85,2.13,1.52,1.46,0.56,0.95,1.04,,,,,,,,,,,,,,,,,,
heterosexual,1.67,1.18,0.57,0.66,0.99,1.48,1.61,,,,,,,,,,,,,,,,,,
Hispanic-American,0.79,0.05,0.6,1.97,2.13,2.85,2.99,,,,,,,,,,,,,,,,,,
hombre,0.65,0.26,0.21,1.96,2.13,2.89,3.03,,,,,,,,,,,,,,,,,,
homemaker,0.95,0.29,-0.11,1.76,2.17,2.79,2.92,,,,,,,,,,,,,,,,,,
homosexual,0.06,-0.29,0.81,2.78,2.72,3.57,3.71,,,,,,,,,,,,,,,,,,
honeymooner,2.26,1.08,1.84,1.46,1.4,1.33,1.45,,,,,,,,,,,,,,,,,,
hoodlum,-2.04,-0.33,0.81,4.65,4.25,5.33,5.47,,,,,,,,,,,,,,,,,,
hooker,-1.7,-1.54,0.58,4.91,4.8,5.73,5.87,,,,,,,,,,,,,,,,,,
host,1.62,1.35,1.24,1.08,0.68,1.32,1.46,,,,,,,,,,,,,,,,,,
hostess,1.45,0.66,1.21,1.34,1.35,1.91,2.05,,,,,,,,,,,,,,,,,,
hothead,-1.5,-0.24,1.67,4.29,3.79,4.84,4.98,,,,,,,,,,,,,,,,,,
hotshot,-0.61,0.24,1.69,3.35,2.81,3.84,3.98,,,,,,,,,,,,,,,,,,
